Hammond LA,Pearl River LA,52,49
Harpers Ferry WV,Harrisburg PA,93,101
Harpers Ferry WV,Washington DC,63,74
Harrisburg PA,Hershey PA,15,23
Harrisburg PA,Philadelphia PA,107,108
Harrisburg PA,Scranton PA,121,120
Harrisburg PA,Wilmington DE,90,114
Hartford CT,Mystic CT,54,60
Hartford CT,New Haven CT,39,42
Hartford CT,Poughkeepsie NY,99,106
Hartford CT,Springfield MA,26,28
Hartford CT,Worcester MA,62,61
Hartford VT,Livermore NH,115,134
Hattiesburg MS,Meridian MS,87,83
Hattiesburg MS,Mobile AL,94,103
Helena MT,Missoula MT,113,107
Hilton Head SC,Savannah GA,32,43
Hot Springs AR,Memphis TN,189,171
Houston TX,Lufkin TX,120,114
Houston TX,Port Arthur TX,90,82
Houston TX,Victoria TX,132,123
Huntsville AL,Nashville TN,111,115
Huntsville AL,Tupelo MS,145,145
Indianapolis IN,Louisville KY,114,108
Indianapolis IN,Owensboro KY,170,198
Indianapolis IN,St. Louis MO,243,231
Jackson Hole WY,Rock Springs WY,178,185
Jackson MS,Kentwood LA,102,91
Jackson MS,Memphis TN,108,103
Jackson MS,Memphis TN,209,184
Jackson MS,Meridian MS,92,84
Jackson MS,Tupelo MS,192,185
Jackson MS,Vicksburg MS,44,46
Jacksonville FL,Savannah GA,139,122
Jacksonville FL,Tallahassee FL,166,155
Jensen UT,Salt Lake City UT,184,199
Kalamazoo MI,Lansing MI,74,74
Kalamazoo MI,South Bend IN,74,86
Kansas City MO,Omaha NE,184,171
Kansas City MO,Overland Park KS,11,19
Kansas City MO,St. Louis MO,248,223
Kansas City MO,Tulsa OK,270,239
Kansas City MO,Wamego KS,108,98
Kennewick WA,Ritzville WA,81,80
Key West FL,Miami FL,164,195
Keystone SD,Medora ND,256,253
Keystone SD,Rapid City SD,21,26
Keystone SD,Sioux Falls SD,366,317
Kill Devil Hills NC,Norfork VA,76,84
Kill Devil Hills NC,Raleigh NC,203,199
Kill Devil Hills NC,Wilmington NC,236,251
Knoxville TN,Lexington KY,172,176
Knoxville TN,Nashville TN,180,163
Knoxville TN,Pigeon Forge TN,31,45
Knoxville TN,Roanoke VA,260,240
Knoxville TN,Winston-Salem NC,258,247
La Crosse WI,Rochester MN,73,71
La Crosse WI,Spring Green WI,89,111
Lafayette LA,Port Arthur TX,133,128
Lake Geneva WI,Madison WI,73,82
Lake Geneva WI,Milwaukee WI,49,54
Lake Geneva WI,Rockford IL,54,65
Lancaster NH,Livermore NH,42,64
Laredo TX,San Antonio TX,157,141
Laredo TX,South Padre Island TX,228,231
